core_category,raw_agreement_percent,cohen_kappa,ci95_low,ci95_high,gt_depth_mean,gt_depth_sd,hybrid_depth_mean,hybrid_depth_sd,delta_hybrid_minus_gt
Embodiment modality,91.3,0.82,0.70,0.92,4.6,0.51,4.4,0.51,-0.2
Multimodal interaction,90.3,0.80,0.68,0.90,4.4,0.51,4.5,0.52,0.1
Affective/aesthetic experience,88.3,0.76,0.63,0.88,4.5,0.52,4.4,0.51,-0.1
Anthropomorphism/trust,89.3,0.79,0.65,0.90,4.7,0.49,4.5,0.52,-0.2
Cognitive collaboration,84.5,0.68,0.53,0.82,4.8,0.41,3.9,0.59,-0.9
4E cognition/physical AI,86.4,0.71,0.57,0.84,4.6,0.51,4.0,0.65,-0.6
Safety/ethics/accessibility,93.2,0.85,0.74,0.94,4.0,0.65,4.4,0.51,0.4
Pooled / mean,89.0,0.78,0.73,0.83,4.51,0.56,4.30,0.57,-0.21
